问题编号,序号,严重程度,问题类型,项目名称,检查日期,文件名,桩号,行号,疑似原因,建议复核项,详细信息,是否整改,整改说明
POU-F211A05C,11,警告,成孔到灌注间隔过长,滨江一号,2026-06-20,2026-06-21_二区桩基记录.csv,ZK12,7,灌注时间 2026-06-21 19:00 早于成孔时间 2026-06-22 08:00，时间逻辑矛盾,检查成孔时间和灌注时间填报是否颠倒或格式错误,第 7 行,,
VOL-08E170B3,12,警告,混凝土方量差异超限,滨江一号,2026-06-20,2026-06-20_一区桩基记录.csv,ZK4,5,混凝土记录方量 11.50m³，理论方量 10.10m³，超灌 13.9%,复核砼小票累计方量，检查是否存在扩孔、坍孔或记录偏差,第 5 行，偏差 +13.9%，阈值 ±5%,,
VOL-CF304AB8,13,警告,混凝土方量差异超限,滨江一号,2026-06-20,2026-06-21_三区桩基记录.xlsx,ZH2,3,混凝土记录方量 8.80m³，理论方量 8.20m³，超灌 7.3%,复核砼小票累计方量，检查是否存在扩孔、坍孔或记录偏差,第 3 行，偏差 +7.3%，阈值 ±5%,,
VOL-A113B7A2,14,警告,混凝土方量差异超限,滨江一号,2026-06-20,2026-06-21_四区异常记录.csv,ZK15,4,混凝土记录方量 10.80m³，理论方量 15.08m³，少灌 28.4%,复核砼小票累计方量，检查是否存在扩孔、坍孔或记录偏差,第 4 行，偏差 -28.4%，阈值 ±5%,,
FIE-D8BC29DD,15,提示,关键字段缺失,滨江一号,2026-06-20,2026-06-21_二区桩基记录.csv,ZK12,7,关键字段缺失: 实际孔深,补充缺失数据后再审,第 7 行,,
FIE-049D03D0,16,提示,关键字段缺失,滨江一号,2026-06-20,2026-06-21_五区自定义表头.csv,ZH20,2,"关键字段缺失: 实际孔深, 混凝土方量",补充缺失数据后再审,第 2 行,,
FIE-41E81BB5,17,提示,关键字段缺失,滨江一号,2026-06-20,2026-06-21_五区自定义表头.csv,ZH21,3,"关键字段缺失: 实际孔深, 混凝土方量",补充缺失数据后再审,第 3 行,,
FIE-9418323F,18,提示,关键字段缺失,滨江一号,2026-06-20,2026-06-21_五区自定义表头.csv,ZH22,4,"关键字段缺失: 实际孔深, 混凝土方量",补充缺失数据后再审,第 4 行,,
FIE-049E64D2,19,提示,关键字段缺失,滨江一号,2026-06-20,2026-06-21_五区自定义表头.csv,ZH24,6,"关键字段缺失: 实际孔深, 混凝土方量",补充缺失数据后再审,第 6 行,,
VOL-C20F8501,20,提示,理论方量无法计算,滨江一号,2026-06-20,2026-06-21_四区异常记录.csv,ZK16,5,"有混凝土方量但无法计算理论值，缺少: 理论方量列, 桩径列",补填理论方量或桩径+设计桩长，以便核对砼用量,第 5 行,,
